year,region,province_code,province,canton_code,canton,added_value,product_tax,gdp_2022,exports_2022,imports_2022,population,gdp_pc,exports_pc,imports_pc,trade_balance,gdp_2019,exports_2019,imports_2019,gdp_growth,exports_growth,imports_growth,gdp_growth_cat
2022,Chorotega,5,Guanacaste,507,Abangares,105334.74,12344.36,117679.11,24474.47,19670.35,22211,5.298235558957273,1.1019076133447392,0.8856129845572013,4804.120000000003,102671.67,9484.284904,8735.31,0.1461692402587783,-0.7616239221588584,1.2518204849055157,Strong
2022,Central,1,San Jose,112,Acosta,71739.03,3841.69,75580.72,17308.79,3962.87,22542,3.352884393576435,0.767846242569426,0.17579939668174963,13345.920000000002,53439.62,11753.58528,7822.66,0.4143199371552417,-0.6761056684160553,-0.49341144827974115,Strong
2022,Central,2,Alajuela,201,Alajuela,4106141.49,412775.41,4518916.91,3732599.37,2386526.64,322143,14.02767376599833,11.5867778284799,7.408283402091618,1346072.73,3663021.31,2377792.011,1997857.51,0.23365837312041193,0.018994718870472542,0.19454296818195013,Strong
2022,Central,1,San Jose,110,Alajuelita,183184.15,15434.46,198618.61,914.17,19508.64,81012,2.4517183873993975,0.011284377623068187,0.2408117315953192,-18594.47,180641.76,1035.856793,20130.6,0.09951657911216086,-0.9949393207860684,-0.030896247503800142,Strong
2022,Central,3,Cartago,306,Alvarado,85984.23,4720.58,90704.81,59.67,1501.7,17134,5.293849072020544,0.0034825493171471928,0.08764444963231002,-1442.03,68623.74,16.35610241,920.03,0.3217701337758623,-0.9991304758382449,0.6322293838244406,Strong
2022,Central,1,San Jose,106,Aserri,137452.0,9097.87,146549.87,5484.14,8363.03,59588,2.4593856145532658,0.09203430220849836,0.1403475531986306,-2878.8900000000003,146564.56,31430.09864,5729.93,-0.00010022886842496118,-0.9625820866927174,0.4595344096699262,Recession
2022,Central,2,Alajuela,205,Atenas,119540.01,7664.99,127205.0,1336.69,6899.89,30407,4.183411714407867,0.04395994343407768,0.22691781497681457,-5563.200000000001,117252.77,1932.141908,4633.58,0.08487842120915348,-0.9885999281722726,0.48910561596001373,Strong
2022,Chorotega,5,Guanacaste,504,Bagaces,154897.97,12377.18,167275.15,443.06,5351.23,23709,7.055343962208444,0.018687418279978066,0.22570458475684338,-4908.169999999999,165955.92,515.4255593,580.51,0.0079492795436281,-0.9973302549255249,8.218153003393567,Slow
2022,Central,4,Heredia,402,Barva,250284.7,14869.36,265154.06,8594.54,20293.85,47699,5.558901863770729,0.18018281305687753,0.4254565085221912,-11699.309999999998,197026.5,8386.467758,15774.4,0.3457786642913517,-0.956378761232626,0.28650535044122116,Strong
2022,Central,4,Heredia,407,Belen,1882755.47,122348.89,2005104.36,257337.63,385322.59,23759,84.39346605496864,10.831164190412055,16.217963298118608,-127984.96000000002,1141994.5,4373.005297,25066.79,0.7557916084534558,-0.7746594839117001,14.371836202401665,Strong
2022,Brunca,6,Puntarenas,603,Buenos Aires,135649.4,4906.62,140556.02,183.22,163.86,50562,2.779874609390451,0.0036236699497646453,0.003240773703571853,19.359999999999985,113795.11,144.8354165,482.06,0.2351674865466538,-0.9983899132396814,-0.6600838069949798,Strong
2022,Chorotega,5,Guanacaste,506,Canas,149096.25,11897.31,160993.55,42571.72,10325.2,31738,5.07258018778751,1.3413485411809187,0.32532610750519886,32246.52,149387.7,34109.60898,21064.86,0.07768946171605812,-0.7150252664710682,-0.5098377107657017,Strong
2022,Chorotega,5,Guanacaste,505,Carrillo,277472.88,22869.05,300341.93,3907.08,7620.71,48227,6.227671843573102,0.08101436954403135,0.15801750057022002,-3713.63,235960.99,13344.27028,6446.62,0.27284569368860506,-0.983441839263346,0.18212489645736837,Strong
2022,Central,3,Cartago,301,Cartago,1639438.77,202052.5,1841491.28,1136139.31,728890.14,165417,11.132418554320294,6.868334633078826,4.406379876312592,407249.17000000004,1401237.07,561071.6943,502169.3,0.3141896681337441,-0.18918837195764454,0.45148287639248363,Strong
2022,Brunca,6,Puntarenas,610,Corredores,197633.13,7509.92,205143.05,219908.89,7391.31,51023,4.020599533543696,4.309995296238951,0.1448623169942967,212517.58000000002,162717.03,87939.30236,10787.23,0.2607349703961533,0.3514804811764326,-0.3148092698496277,Strong
2022,Brunca,6,Puntarenas,608,Coto Brus,152503.66,7924.92,160428.58,1038.85,526.87,46351,3.461167612349248,0.02241267718064335,0.01136696079911976,511.9799999999999,114717.25,235.5887024,1085.72,0.3984695414159596,-0.9909442564217674,-0.514727554065505,Strong
2022,Central,1,San Jose,118,Curridabat,891681.51,67684.12,959365.64,11085.14,132445.16,71026,13.50724579731366,0.15607157942162025,1.8647419254920734,-121360.02,822926.18,11628.66568,56035.88,0.16579793341852359,-0.9865296058511591,1.3635777648178276,Strong
2022,Central,1,San Jose,103,Desamparados,883459.85,78322.78,961782.64,45437.85,256448.29,223226,4.308560113965219,0.20355088564952112,1.1488280487040041,-211010.44,999748.83,37369.9009,229606.17,-0.037975728363693055,-0.9545507345079864,0.11690504658476727,Recession
2022,Central,1,San Jose,117,Dota,35881.8,2002.69,37884.49,4571.78,32.64,9364,4.045759290901324,0.4882293891499359,0.003485689876121316,4539.139999999999,28254.29,1241.747293,44.66,0.3408402759368576,-0.8381916516040573,-0.2691446484549932,Strong
2022,Central,3,Cartago,308,El Guarco,203578.14,18148.48,221726.62,45738.35,48648.34,47375,4.680245277044855,0.9654532981530343,1.026877889182058,-2909.989999999998,222483.95,12916.07638,21972.02,-0.003403975882305291,-0.7944195525115407,1.214104119694047,Recession
2022,Central,1,San Jose,102,Escazu,1860522.57,133774.48,1994297.06,57375.48,140847.63,71500,27.892266573426575,0.8024542657342658,1.9698969230769232,-83472.15,1517635.42,11040.03184,54072.95,0.3140817838845644,-0.9621941612301063,1.6047705923201898,Strong
2022,Pacifico Central,6,Puntarenas,602,Esparza,121747.33,12756.65,134503.98,69509.19,134845.95,34808,3.8641685819351874,1.9969314525396462,3.8739930475752704,-65336.76000000001,120026.81,66284.84648,113715.06,0.12061613567835397,-0.42088613368963146,0.18582314426954544,Strong
2022,Central,4,Heredia,408,Flores,366174.29,149307.62,515481.9,7825.72,22094.78,22026,23.403336965404524,0.35529465177517483,1.0031226732043947,-14269.059999999998,294917.17,2417.243561,6868.06,0.7478870423176788,-0.9734646850164744,2.217033631039915,Strong
2022,Pacifico Central,6,Puntarenas,611,Garabito,183681.85,16689.75,200371.6,2042.12,4325.54,26672,7.512432513497301,0.07656418716256748,0.1621753149370126,-2283.42,177016.17,1449.883956,5565.3,0.13193952846228676,-0.9884636527838107,-0.22276606831617346,Strong
2022,Central,1,San Jose,108,Goicoechea,976438.2,100910.36,1077348.57,19359.22,164223.57,132104,8.155306198146915,0.14654529764428026,1.2431385120813905,-144864.35,1079998.56,2141.831905,84374.27,-0.0024536977160413906,-0.9820747723959928,0.9463702619293772,Recession
2022,Brunca,6,Puntarenas,607,Golfito,198650.78,18436.32,217087.1,12.18,21064.72,44086,4.92417320691376,0.00027627818355033343,0.47780973551694417,-21052.54,174926.22,281.491627,22881.5,0.24102092870925815,-0.9999303706442637,-0.07939951489194322,Strong
2022,Central,2,Alajuela,203,Grecia,452158.31,55911.07,508069.38,114173.49,76545.61,76226,6.665302915015874,1.497828693621599,1.0041929262981135,37627.880000000005,392393.48,110293.6806,76174.38,0.29479567295562614,-0.7090331623247155,0.004873423321594425,Strong
