year,region,province_code,province,canton_code,canton,gdp,exports,imports,population
2019,Chorotega,5,Guanacaste,507,Abangares,102671.67,9484.284904,8735.31,19877
2019,Central,1,San Jose,112,Acosta,53439.62,11753.58528,7822.66,21835
2019,Central,2,Alajuela,201,Alajuela,3663021.31,2377792.011,1997857.51,310248
2019,Central,1,San Jose,110,Alajuelita,180641.76,1035.856793,20130.6,93247
2019,Central,3,Cartago,306,Alvarado,68623.74,16.35610241,920.03,15322
2019,Central,1,San Jose,106,Aserri,146564.56,31430.09864,5729.93,63013
2019,Central,2,Alajuela,205,Atenas,117252.77,1932.141908,4633.58,29041
2019,Chorotega,5,Guanacaste,504,Bagaces,165955.92,515.4255593,580.51,23774
2019,Central,4,Heredia,402,Barva,197026.5,8386.467758,15774.4,46380
2019,Central,4,Heredia,407,Belen,1141994.5,4373.005297,25066.79,26237
2019,Brunca,6,Puntarenas,603,Buenos Aires,113795.11,144.8354165,482.06,52784
2019,Chorotega,5,Guanacaste,506,Canas,149387.7,34109.60898,21064.86,32325
2019,Chorotega,5,Guanacaste,505,Carrillo,235960.99,13344.27028,6446.62,45047
2019,Central,3,Cartago,301,Cartago,1401237.07,561071.6943,502169.3,162944
2019,Brunca,6,Puntarenas,610,Corredores,162717.03,87939.30236,10787.23,51865
2019,Brunca,6,Puntarenas,608,Coto Brus,114717.25,235.5887024,1085.72,44262
2019,Central,1,San Jose,118,Curridabat,822926.18,11628.66568,56035.88,78961
2019,Central,1,San Jose,103,Desamparados,999748.83,37369.9009,229606.17,242983
2019,Central,1,San Jose,117,Dota,28254.29,1241.747293,44.66,7905
2019,Central,3,Cartago,308,El Guarco,222483.95,12916.07638,21972.02,45935
2019,Central,1,San Jose,102,Escazu,1517635.42,11040.03184,54072.95,69394
2019,Pacifico Central,6,Puntarenas,602,Esparza,120026.81,66284.84648,113715.06,37647
2019,Central,4,Heredia,408,Flores,294917.17,2417.243561,6868.06,24603
2019,Pacifico Central,6,Puntarenas,611,Garabito,177016.17,1449.883956,5565.3,25381
2019,Central,1,San Jose,108,Goicoechea,1079998.56,2141.831905,84374.27,137328
2019,Brunca,6,Puntarenas,607,Golfito,174926.22,281.491627,22881.5,45082
2019,Central,2,Alajuela,203,Grecia,392393.48,110293.6806,76174.38,77172
2019,Huetar Caribe,7,Limon,706,Guacimo,160263.88,58030.80003,23106.88,54195
2019,Huetar Norte,2,Alajuela,215,Guatuso,53257.17,274.0609938,1649.46,19010
2019,Central,4,Heredia,401,Heredia,2079965.5,734512.4565,565426.34,141683
2019,Chorotega,5,Guanacaste,511,Hojancha,20717.08,75.60056439,111.03,7945
2019,Central,3,Cartago,304,Jimenez,89323.43,1130.073536,874.67,16296
2019,Chorotega,5,Guanacaste,510,La Cruz,89781.3,20750.1404,7126.75,26599
2019,Central,3,Cartago,303,La Union,634885.67,40920.88605,58209.92,111369
2019,Central,1,San Jose,120,Leon Cortes Castro,70490.97,100.9159952,1953.37,13635
2019,Chorotega,5,Guanacaste,501,Liberia,741809.9,6018.776668,24904.98,75640
2019,Huetar Caribe,7,Limon,701,Limon,489590.93,123904.5013,1163511.5,99545
2019,Huetar Norte,2,Alajuela,214,Los Chiles,119393.02,10650.78156,212.74,32993
2019,Huetar Caribe,7,Limon,705,Matina,192647.34,27512.83289,6034.14,45839
2019,Central,1,San Jose,115,Montes de Oca,1072029.85,4561.224716,26154.47,62310
2019,Pacifico Central,6,Puntarenas,604,Montes de Oro,66310.21,905.1461994,3064.0,14177
2019,Central,1,San Jose,107,Mora,144079.26,7320.156161,7664.68,30067
2019,Central,1,San Jose,114,Moravia,373544.61,17960.03833,38901.39,62290
2019,Chorotega,5,Guanacaste,509,Nandayure,38137.29,3318.208695,145.62,11750
2019,Central,2,Alajuela,206,Naranjo,173631.8,3637.744158,16416.91,48310
2019,Chorotega,5,Guanacaste,502,Nicoya,227247.45,13049.40906,2939.72,56053
2019,Central,3,Cartago,307,Oreamuno,144580.95,8136.078935,7575.39,49604
2019,Pacifico Central,2,Alajuela,209,Orotina,85565.26,716.9338422,575.07,23467
2019,Brunca,6,Puntarenas,605,Osa,133941.77,2426.083793,844.57,30981
2019,Central,2,Alajuela,207,Palmares,172199.84,14587.43357,32071.84,40473
2019,Central,3,Cartago,302,Paraiso,262976.56,31144.71426,15186.77,62480
2019,Pacifico Central,6,Puntarenas,609,Parrita,73332.25,14225.61183,1126.54,19828
2019,Brunca,1,San Jose,119,Perez Zeledon,530636.96,13021.31474,8462.87,142997
2019,Central,2,Alajuela,208,Poas,155496.41,5430.652772,4312.15,33541
2019,Huetar Caribe,7,Limon,702,Pococi,752750.2,439339.7271,120043.62,148593
2019,Pacifico Central,6,Puntarenas,601,Puntarenas,655316.77,127987.7269,253651.61,138222
2019,Central,1,San Jose,104,Puriscal,128413.59,1491.937754,3368.0,37668
2019,Pacifico Central,6,Puntarenas,606,Quepos,195433.65,17555.24174,5856.41,32601
2019,Huetar Norte,2,Alajuela,216,Rio Cuarto,50122.46,7785.113658,19388.34,15484
2019,Huetar Norte,2,Alajuela,210,San Carlos,1058499.96,265331.9708,59418.18,197218
2019,Central,4,Heredia,406,San Isidro,121372.1,584.0578721,2856.71,22996
2019,Central,1,San Jose,101,San Jose,6699198.61,884942.5279,3234484.47,344851
2019,Pacifico Central,2,Alajuela,204,San Mateo,29400.41,38.5413196,75.01,7070
2019,Central,4,Heredia,409,San Pablo,191606.23,23.02406337,2831.05,31000
2019,Central,4,Heredia,405,San Rafael,220015.0,303.5409035,8889.42,54587
2019,Central,2,Alajuela,202,San Ramon,388749.32,23149.51239,23662.56,92874
2019,Central,1,San Jose,109,Santa Ana,1665929.05,2151.482676,31275.47,59701
2019,Central,4,Heredia,404,Santa Barbara,108163.25,4016.26916,9989.81,42208
2019,Chorotega,5,Guanacaste,503,Santa Cruz,340089.97,405.874316,6898.84,67758
2019,Central,4,Heredia,403,Santo Domingo,447680.24,14402.91474,48372.69,48581
2019,Huetar Norte,4,Heredia,410,Sarapiqui,297728.62,122805.3103,11436.59,80895
2019,Central,2,Alajuela,212,Sarchi,81100.91,11685.28682,2741.88,21945
2019,Huetar Caribe,7,Limon,703,Siquirres,350219.97,59942.94987,70138.41,64501
2019,Huetar Caribe,7,Limon,704,Talamanca,142372.65,2643.989796,327.78,42351
2019,Central,1,San Jose,105,Tarrazu,69589.15,24464.3685,2119.15,18399
2019,Central,1,San Jose,113,Tibas,490551.89,16385.9653,33874.93,84215
2019,Chorotega,5,Guanacaste,508,Tilaran,221739.58,856.2988794,3204.5,21619
2019,Central,3,Cartago,305,Turrialba,323785.65,22539.90045,11297.57,73656
2019,Central,1,San Jose,116,Turrubares,14900.61,0.0,105.96,6790
2019,Huetar Norte,2,Alajuela,213,Upala,162947.46,23845.58213,389.15,53371
2019,Central,1,San Jose,111,Vazquez de Coronado,296535.55,1174.932238,21019.34,70972
2019,Central,2,Alajuela,211,Zarcero,86765.71,1261.601729,1471.73,14204
2022,Chorotega,5,Guanacaste,507,Abangares,117679.11,24474.47,19670.35,22211
2022,Central,1,San Jose,112,Acosta,75580.72,17308.79,3962.87,22542
2022,Central,2,Alajuela,201,Alajuela,4518916.91,3732599.37,2386526.64,322143
2022,Central,1,San Jose,110,Alajuelita,198618.61,914.17,19508.64,81012
2022,Central,3,Cartago,306,Alvarado,90704.81,59.67,1501.7,17134
2022,Central,1,San Jose,106,Aserri,146549.87,5484.14,8363.03,59588
2022,Central,2,Alajuela,205,Atenas,127205.0,1336.69,6899.89,30407
2022,Chorotega,5,Guanacaste,504,Bagaces,167275.15,443.06,5351.23,23709
2022,Central,4,Heredia,402,Barva,265154.06,8594.54,20293.85,47699
2022,Central,4,Heredia,407,Belen,2005104.36,257337.63,385322.59,23759
2022,Brunca,6,Puntarenas,603,Buenos Aires,140556.02,183.22,163.86,50562
2022,Chorotega,5,Guanacaste,506,Canas,160993.55,42571.72,10325.2,31738
2022,Chorotega,5,Guanacaste,505,Carrillo,300341.93,3907.08,7620.71,48227
2022,Central,3,Cartago,301,Cartago,1841491.28,1136139.31,728890.14,165417
2022,Brunca,6,Puntarenas,610,Corredores,205143.05,219908.89,7391.31,51023
2022,Brunca,6,Puntarenas,608,Coto Brus,160428.58,1038.85,526.87,46351
2022,Central,1,San Jose,118,Curridabat,959365.64,11085.14,132445.16,71026
2022,Central,1,San Jose,103,Desamparados,961782.64,45437.85,256448.29,223226
2022,Central,1,San Jose,117,Dota,37884.49,4571.78,32.64,9364
2022,Central,3,Cartago,308,El Guarco,221726.62,45738.35,48648.34,47375
2022,Central,1,San Jose,102,Escazu,1994297.06,57375.48,140847.63,71500
2022,Pacifico Central,6,Puntarenas,602,Esparza,134503.98,69509.19,134845.95,34808
2022,Central,4,Heredia,408,Flores,515481.9,7825.72,22094.78,22026
2022,Pacifico Central,6,Puntarenas,611,Garabito,200371.6,2042.12,4325.54,26672
2022,Central,1,San Jose,108,Goicoechea,1077348.57,19359.22,164223.57,132104
2022,Brunca,6,Puntarenas,607,Golfito,217087.1,12.18,21064.72,44086
2022,Central,2,Alajuela,203,Grecia,508069.38,114173.49,76545.61,76226
2022,Huetar Caribe,7,Limon,706,Guacimo,223390.4,81578.14,25240.94,49606
2022,Huetar Norte,2,Alajuela,215,Guatuso,47325.5,200.9,970.11,18316
2022,Central,4,Heredia,401,Heredia,2591032.72,774946.11,736138.7,131901
2022,Chorotega,5,Guanacaste,511,Hojancha,30552.12,116.21,0.0,8224
2022,Central,3,Cartago,304,Jimenez,115929.27,2241.72,730.04,18710
2022,Chorotega,5,Guanacaste,510,La Cruz,89074.4,37186.68,2437.08,26829
2022,Central,3,Cartago,303,La Union,634391.12,52717.98,73928.13,99539
2022,Central,1,San Jose,120,Leon Cortes Castro,88386.58,0.0,182.11,13553
2022,Chorotega,5,Guanacaste,501,Liberia,1005549.41,8456.8,30909.05,80130
2022,Huetar Caribe,7,Limon,701,Limon,466654.27,106134.27,1755326.6,116457
2022,Huetar Norte,2,Alajuela,214,Los Chiles,109791.95,38123.36,10.81,34701
2022,Huetar Caribe,7,Limon,705,Matina,184983.56,20895.5,1358.91,45329
2022,Central,1,San Jose,115,Montes de Oca,1350329.81,20311.0,31434.41,53862
2022,Pacifico Central,6,Puntarenas,604,Montes de Oro,80914.09,243.13,556.15,16395
2022,Central,1,San Jose,107,Mora,227401.2,9281.52,8460.49,32348
2022,Central,1,San Jose,114,Moravia,396995.9,29581.96,48529.34,59546
2022,Chorotega,5,Guanacaste,509,Nandayure,40877.06,2562.52,340.07,11874
2022,Central,2,Alajuela,206,Naranjo,172770.04,5425.3,18542.34,46647
2022,Chorotega,5,Guanacaste,502,Nicoya,282904.59,10014.77,2426.91,66268
2022,Central,3,Cartago,307,Oreamuno,149944.03,19969.77,22176.32,48911
2022,Pacifico Central,2,Alajuela,209,Orotina,101212.19,8578.18,18840.51,24217
2022,Brunca,6,Puntarenas,605,Osa,175568.22,0.68,560.09,36088
2022,Central,2,Alajuela,207,Palmares,208171.53,15125.18,37845.67,39148
2022,Central,3,Cartago,302,Paraiso,290268.81,34993.01,9432.93,65941
2022,Pacifico Central,6,Puntarenas,609,Parrita,101369.01,10545.51,6165.49,20068
2022,Brunca,1,San Jose,119,Perez Zeledon,692119.06,16693.34,9918.3,156917
2022,Central,2,Alajuela,208,Poas,166824.91,3401.11,6305.89,36207
2022,Huetar Caribe,7,Limon,702,Pococi,789132.09,530020.74,312992.15,146320
2022,Pacifico Central,6,Puntarenas,601,Puntarenas,833465.58,190247.03,352865.41,141697
2022,Central,1,San Jose,104,Puriscal,131375.2,1432.01,7831.85,38525
