Año,Región,Código provincia,Provincia,Código Cantón,Cantón,  Valor Agregado , Impuestos a los producto , PIB , Exportaciones , Importaciones 
2019,Central,1,San José,101,San José,"6,147,938.22","551,260.39","6,699,198.61",884942.5279,"3,234,484.47"
2019,Central,1,San José,102,Escazú,"1,424,373.29","93,262.12","1,517,635.42",11040.03184,"54,072.95"
2019,Central,1,San José,103,Desamparados,"923,245.85","76,502.98","999,748.83",37369.9009,"229,606.17"
2019,Central,1,San José,104,Puriscal,"111,683.80","16,729.79","128,413.59",1491.937754,"3,368.00"
2019,Central,1,San José,105,Tarrazú,"66,880.22","2,708.92","69,589.15",24464.3685,"2,119.15"
2019,Central,1,San José,106,Aserrí,"137,425.46","9,139.10","146,564.56",31430.09864,"5,729.93"
2019,Central,1,San José,107,Mora,"135,380.48","8,698.77","144,079.26",7320.156161,"7,664.68"
2019,Central,1,San José,108,Goicoechea,"897,636.94","182,361.62","1,079,998.56",2141.831905,"84,374.27"
2019,Central,1,San José,109,Santa Ana,"1,588,254.17","77,674.88","1,665,929.05",2151.482676,"31,275.47"
2019,Central,1,San José,110,Alajuelita,"170,187.42","10,454.34","180,641.76",1035.856793,"20,130.60"
2019,Central,1,San José,111,Vázquez de Coronado,"279,667.28","16,868.27","296,535.55",1174.932238,"21,019.34"
2019,Central,1,San José,112,Acosta,"50,354.22","3,085.40","53,439.62",11753.58528,"7,822.66"
2019,Central,1,San José,113,Tibás,"452,765.66","37,786.23","490,551.89",16385.9653,"33,874.93"
2019,Central,1,San José,114,Moravia,"342,932.70","30,611.92","373,544.61",17960.03833,"38,901.39"
2019,Central,1,San José,115,Montes de Oca,"1,030,598.98","41,430.87","1,072,029.85",4561.224716,"26,154.47"
2019,Central,1,San José,116,Turrubares,"14,512.98",387.63,"14,900.61",0,105.96
2019,Central,1,San José,117,Dota,"27,146.77","1,107.52","28,254.29",1241.747293,44.66
2019,Central,1,San José,118,Curridabat,"779,290.64","43,635.54","822,926.18",11628.66568,"56,035.88"
2019,Brunca,1,San José,119,Pérez Zeledón,"501,514.39","29,122.56","530,636.96",13021.31474,"8,462.87"
2019,Central,1,San José,120,León Cortés Castro,"67,969.96","2,521.01","70,490.97",100.9159952,"1,953.37"
2019,Central,2,Alajuela,201,Alajuela,"3,347,695.60","315,325.72","3,663,021.31",2377792.011,"1,997,857.51"
2019,Central,2,Alajuela,202,San Ramón,"366,858.95","21,890.37","388,749.32",23149.51239,"23,662.56"
2019,Central,2,Alajuela,203,Grecia,"342,508.20","49,885.28","392,393.48",110293.6806,"76,174.38"
2019,Pacífico Central,2,Alajuela,204,San Mateo,"28,581.47",818.94,"29,400.41",38.5413196,75.01
2019,Central,2,Alajuela,205,Atenas,"111,514.82","5,737.95","117,252.77",1932.141908,"4,633.58"
2019,Central,2,Alajuela,206,Naranjo,"159,851.07","13,780.72","173,631.80",3637.744158,"16,416.91"
2019,Central,2,Alajuela,207,Palmares,"158,197.78","14,002.05","172,199.84",14587.43357,"32,071.84"
2019,Central,2,Alajuela,208,Poás,"147,187.28","8,309.13","155,496.41",5430.652772,"4,312.15"
2019,Pacífico Central,2,Alajuela,209,Orotina,"80,312.22","5,253.04","85,565.26",716.9338422,575.07
2019,Huetar Norte,2,Alajuela,210,San Carlos,"991,604.73","66,895.23","1,058,499.96",265331.9708,"59,418.18"
2019,Central,2,Alajuela,211,Zarcero,"82,916.50","3,849.21","86,765.71",1261.601729,"1,471.73"
2019,Central,2,Alajuela,212,Sarchí,"76,523.29","4,577.61","81,100.91",11685.28682,"2,741.88"
2019,Huetar Norte,2,Alajuela,213,Upala,"157,713.82","5,233.64","162,947.46",23845.58213,389.15
2019,Huetar Norte,2,Alajuela,214,Los Chiles,"115,628.61","3,764.41","119,393.02",10650.78156,212.74
