Cantón,Población 2015,Población 2019,Porcentaje de crecimiento
Sarapiquí,72218,80895,12
Garabito,22767,25381,11
LosChiles,30074,32993,10
Carrillo,41390,45047,9
Talamanca,38984,42351,9
Parrita,18305,19828,8
LaCruz,24565,26599,8
Liberia,70108,75640,8
SantaCruz,62892,67758,8
Guácimo,50326,54195,8
SanCarlos,184763,197218,7
Bagaces,22301,23774,7
Quepos,30623,32601,6
Alajuelita,87734,93247,6
Esparza,35432,37647,6
Poás,31583,33541,6
Orotina,22099,23467,6
Pococí,139975,148593,6
Barva,43776,46380,6
Puntarenas,130462,138222,6
SantaBárbara,39843,42208,6
Upala,50464,53371,6
Alajuela,293601,310248,6
SantaAna,56570,59701,6
SanRafael,51736,54587,6
BuenosAires,50057,52784,5
Turrubares,6444,6790,5
Guatuso,18059,19010,5
Matina,43546,45839,5
Flores,23426,24603,5
Palmares,38541,40473,5
Cañas,30793,32325,5
Golfito,43004,45082,5
SanRamón,88610,92874,5
Corredores,49501,51865,5
Heredia,135292,141683,5
Zarcero,13567,14204,5
Naranjo,46170,48310,5
ValverdeVega,20976,21945,5
SanIsidro,21985,22996,5
LaUnión,106490,111369,5
LeónCortés,13044,13635,5
Atenas,27798,29041,4
VásquezdeCoronado,67937,70972,4
MontesdeOro,13581,14177,4
SanMateo,6785,7070,4
Nicoya,53829,56053,4
Desamparados,233360,242983,4
Escazú,66652,69394,4
SantoDomingo,46710,48581,4
Goicoechea,132210,137328,4
Puriscal,36272,37668,4
Aserrí,60740,63013,4
Belén,25296,26237,4
Mora,29007,30067,4
El Guarco,44336,45935,4
Tarrazú,17783,18399,3
Curridabat,76333,78961,3
Paraíso,60448,62480,3
Oreamuno,48008,49604,3
Tibás,81506,84215,3
Cartago,157794,162944,3
SanJosé,333980,344851,3
Abangares,19266,19877,3
Alvarado,14853,15322,3
Acosta,21169,21835,3
Dota,7667,7905,3
Siquirres,62627,64501,3
SanPablo,30144,31000,3
Tilarán,21047,21619,3
Moravia,60729,62290,3
Hojancha,7757,7945,2
Osa,30292,30981,2
Limón,98065,99545,2
MontesdeOca,61386,62310,2
Nandayure,11594,11750,1
Jiménez,16122,16296,1
CotoBrus,43939,44262,1
PérezZeledón,141998,142997,1
Turrialba,73453,73656,0
Río Cuarto,No existía como cantón,15484,0
Grecia*,87658,77172,-12
TOTAL DEL PAÍS,4832227,5057999,5
,,,
,,,
,,,
"*Grecia perdió al distrito de Río Cuarto, el cual se convirtió en cantón",,,
