Cantón,1973,1984,2000,2011,2022
Costa Rica,1871780,2416809,3810179,4301712,5044197
San José,215441,241464,309672,288054,352381
Alajuela,96325,127472,222853,254886,322143
Desamparados,74272,108474,193478,208411,223226
San Carlos,54952,75576,127140,163745,198742
Cartago,65310,87125,132057,147898,165417
Pérez Zeledón,67089,82370,122187,134534,156917
Pococí,28688,44187,103121,125962,146320
Puntarenas,62603,74267,102504,115019,141697
Goicoechea,61607,79931,117532,115084,132104
Heredia,36487,54896,103894,123616,131901
Limón,40830,52602,89933,94415,116457
La Unión,23352,41005,80279,99399,99539
San Ramón,33155,39963,67975,80566,93264
Turrialba,43202,50567,68510,69616,82065
Alajuelita,23013,31390,70297,77603,81012
Liberia,21781,28067,46703,62987,80130
Grecia,31806,38361,65119,76898,76226
Tibás,35602,57693,72074,64842,74592
Santa Cruz,29739,31133,40821,55104,72366
Escazú,25026,33101,52372,56509,71500
Curridabat,15591,31954,60889,65206,71026
Sarapiquí,12618,18909,45435,57147,67153
Vázquez de Coronado,16336,24514,55585,60486,67078
Nicoya,37185,36626,42189,50825,66268
Paraíso,22281,27823,52393,57743,65941
Siquirres,18133,29079,52409,56786,63765
Aserrí,20091,30938,49319,57892,59588
Moravia,19548,33038,50419,56919,59546
Santa Ana,14499,19605,34507,49123,58020
Upala,15971,26061,37679,43953,57361
Montes de Oca,33633,39065,50433,49132,53862
Corredores,18198,28222,37274,41831,51023
Buenos Aires,20104,27716,40139,45244,50562
Guácimo,11572,16472,34879,41266,49606
Oreamuno,17517,24145,39032,45473,48911
Talamanca,5431,11013,25857,30712,48906
San Rafael,16013,22871,37293,45965,48848
Carrillo,14893,18475,27306,37122,48227
Barva,12864,18933,32440,40660,47699
El Guarco,14030,20807,33788,41793,47375
Naranjo,19721,23588,37602,42713,46647
Coto Brus,19971,31650,40082,38453,46351
Santo Domingo,17423,23985,34748,40072,45932
Matina,10489,14723,33096,37721,45329
Golfito,24312,29187,33823,39150,44086
Palmares,14495,17815,29766,34716,39148
Santa Bárbara,10738,16643,29181,36243,39133
Puriscal,24150,23123,29407,33004,38525
Poás,10191,13939,24764,29199,36207
Osa,24613,26294,25861,29433,36088
Esparza,12095,14998,23963,28644,34808
Los Chiles,5596,11404,19732,23735,34701
Quepos,14473,13319,20188,26861,32416
Mora,10733,12584,21666,26294,32348
Cañas,12779,17284,24076,26201,31738
Atenas,12610,15011,22479,25460,30407
San Pablo,6660,11802,20813,27671,29860
La Cruz,8333,10876,16505,19181,26829
Garabito,2959,3144,10378,17229,26672
Orotina,8479,10494,15705,20341,24217
Belén,8538,11993,19834,21633,23759
Bagaces,9828,10103,15972,19536,23709
San Isidro,5979,8528,16056,20633,22806
Acosta,14385,14853,18661,20209,22542
Abangares,11633,12575,16276,18039,22211
Flores,6524,9015,15038,20037,22026
Sarchí,8707,10716,16239,18085,21562
Tilarán,12563,14586,17871,19640,21232
Parrita,11901,9774,12112,16115,20068
Jiménez,11523,11861,14046,14669,18710
Guatuso,4713,6774,13045,15508,18316
Tarrazú,7542,8845,14160,16280,17810
Alvarado,7484,8338,12290,14312,17134
Montes de Oro,6979,7312,11159,12950,16395
Zarcero,6342,7005,10845,12205,15153
Río Cuarto,2840,3341,7744,11074,14418
León Cortés,7521,8087,11696,12200,13553
Nandayure,12058,9428,9985,11121,11874
Dota,4375,4934,6519,6948,9364
Hojancha,7899,6055,6534,7197,8224
San Mateo,2969,3783,5343,6136,6952
Turrubares,4709,4471,4877,5512,6173
